Unnamed: 0,Dao_title,categories,about,simdaos,chain,keyphrases,new_keyphrases
61,DAOHQ - Space Riders NFT DAO,"['DeFi', 'Social']","Owning a Space Rider grants member access to the Spaceport - a district where the Riders reside
 Space Riders is a collection of 8,888 NFTs that are deployed on the Ethereum blockchain. These NFTs are made up of astral like space explorers that take on a simple, but unique look. Space Riders are colorful, distinctive, and carry many traits that we all know and love. They pose to act as a reflection of all of us riding the space in web3. Most of us have become devoted to the NFT space in one way or another, therefore have spent lots of time learning about this rapid growing network. It’s busy, delicate, and very perplexing at times. What we aim to provide with Space Riders, is not only cool art that you can resonate with, but to bring riders of the space together.
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Ethereum', '14.6K']","['reflection' 'time' 'simple' 'riders' 'web3' 'district' 'space rider'
 'space explorers' 'way' 'astral' 'many traits' 'ethereum blockchain'
 'spaceport' 'network' 'unique look' 'nfts' 'space' 'cool art' 'lots'
 'love' 'member access' 'space riders' 'times' 'nft space' 'perplexing'
 'collection']",['Ethereum blockchain' 'Space Riders' 'space explorers']
62,DAOHQ - The Tower DAO,['Social'],"Futuristic skyscraper in the metaverse of Solana
 When you become a Resident you join a welcoming community of builders, artists, musicians, NFT investors, and more. Tower exists to open doors to your future in crypto and web3 while creating fun and memorable experiences.
","['1Hive', '8DAO', '4k', 'ACryptoS']","['Ethereum', '30.1K']","['doors' 'metaverse' 'futuristic skyscraper' 'tower' 'artists' 'solana'
 'community' 'resident' 'crypto' 'nft investors' 'builders' 'fun'
 'memorable experiences' 'future' 'web3' 'musicians']",['Futuristic skyscraper' 'crypto' 'metaverse' 'web3']
63,DAOHQ - Gods Unchained DAO,['Gaming'],"A free-to-play tactical card game that gives players true ownership of their in-game items.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '100.9K']",['tactical card game' 'true ownership' 'players' 'game items'],['tactical card game']
64,DAOHQ - Lil Baby Ape Club DAO,"[' www.lilbabyapeclub.com Discord  Twitter ', ' www.lilbabyapeclub.com', ' Discord ', ' Twitter ']","One day, a bunch of apes became really bored and decided, its time to have a family. Join the Club and let’s cause MAYHEM.
",[],[],['’s' 'time' 'mayhem' 'family' 'apes' 'club' 'day' 'bunch'],['apes']
65,DAOHQ - Floki DAO,['0xcf0c1...b6a2e'],"#Floki is the people’s cryptocurrency and utility token of the Floki Ecosystem!
",[],['11.4K'],['cryptocurrency' 'people' 'floki ecosystem' 'floki' 'utility'],['cryptocurrency' 'utility token']
66,DAOHQ - DIAData DAO,"['DAO Tools', 'Protocol', 'Service']","Open-source data platform that allows market actors to supply, share and use transparent, crowd-verified data and oracles for DeFi
 DIA (Decentralised Information Asset) is a cross-chain, end-to-end, open-source data and oracle platform for Web3.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '53.7K']","['oracle platform' 'data' 'cross - chain' 'oracles' 'web3' 'market actors'
 'crowd' 'share' 'defi' 'source data platform' 'dia' 'end' 'source data'
 'decentralised information asset']",['Decentralised Information Asset' 'oracle' 'oracles']
67,DAOHQ - OctopuoS DAO,['Entertainment'],"OctopuoS is a fun, gamified, $SOUP filled experience with true DAO immersion.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']",['Ethereum'],['experience' 'true dao immersion' 'octopuos' 'fun' 'soup'],['OctopuoS']
68,DAOHQ - LADZ DAO,"[' layer1.substack.com Discord  Twitter ', ' layer1.substack.com', ' Discord ', ' Twitter ']","A Content Network and Creator Collective for the NFT and Web3 industry
",[],['2.8K'],['industry' 'creator collective' 'content network' 'nft'],['NFT' 'Web3 industry']
69,DAOHQ - fBOMB Finance DAO,['DeFi'],"The first native token on the Fantom ecosystem
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Fantom', '880.0']",['first native token' 'fantom ecosystem'],['Fantom ecosystem']
70,DAOHQ - SportX DAO,"['Entertainment', 'Social Impact']","Sports blockchain
 All Sports X is blockchain dedicated to sports marketing, sports IP NFT asset trading, sports middle-tier infrastructure implementation and game application development.
","['For Loot And Glory', 'CronoSports', 'DragonMasterDAO', 'DeFi Dinos']","['Ethereum', '1.1K']","['tier infrastructure implementation' 'sports ip nft asset trading'
 'sports marketing' 'game application development' 'sports x'
 'sports blockchain' 'sports']","['All Sports X' 'Sports blockchain' 'game application development'
 'sports IP NFT asset trading' 'sports marketing']"
71,DAOHQ - necDAO,['DeFi'],"NECDAO empowers the community to democratically drive development of the Nectar ecosystem whilst giving people the world-over a new way to pitch and be rewarded for their talents.
 The Nectar DAO (necDAO) is the decentralized nerve-centre of Nectar. It empowers the community to democratically drive development of the Nectar ecosystem whilst giving people the world-over a new way to pitch and be rewarded for their talents.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Ethereum', '5.9K']","['people' 'nectar ecosystem' 'new way' 'centre' 'necdao' 'development'
 'community' 'nectar dao' 'world' 'talents' 'nectar' 'nerve']",['NECDAO' 'Nectar DAO' 'Nectar ecosystem' 'O']
72,DAOHQ - Illuvinati Governance DAO,['Gaming'],"Illuvium is an open-world fantasy battle game built on the Ethereum blockchain. Often touted as the first AAA game on Ethereum, Illuvium looks to provide a source of entertainment to both casual gamers and hardcore DeFi fans through a range of collecting and trading features.
","['Blockade Games', 'Aurory', 'BreederDAO', 'Collar Informer']","['Ethereum', '547.1K']","['ethereum' 'source' 'entertainment' 'first aaa game' 'range'
 'trading features' 'hardcore defi fans' 'world fantasy battle game'
 'illuvium' 'ethereum blockchain' 'casual gamers']",['AAA game' 'Ethereum' 'Ethereum blockchain' 'Illuvium']
73,DAOHQ - Framework Ventures DAO,"['DAO Tools', 'DeFi', 'Investment']","Thesis-driven crypto venture firm that builds alongside our founders
 We partner with founders and teams to build token-based networks and develop the requisite cryptoeconomics, governance, and community to scale.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '43.4K']","['governance' 'founders' 'networks' 'partner' 'thesis' 'teams'
 'requisite cryptoeconomics' 'community' 'crypto venture firm']",['community' 'cryptoeconomics' 'governance' 'venture firm']
74,DAOHQ - ichi.farm DAO,['0x11111...bc4d6'],"Empowering Crypto Projects With Community-Controlled DeFi.
 ICHI is a Decentralized Autonomous Organization (DAO) that gives crypto projects the tools they need to participate in DeFi more efficiently.
",['About'],['4.3K'],"['dao' 'ichi' 'community' 'tools' 'decentralized autonomous organization'
 'defi' 'crypto projects']","['Crypto Projects' 'Decentralized Autonomous Organization' 'ICHI'
 'crypto projects']"
75,DAOHQ - Anoma DAO,"['DAO Tools', 'Social', 'Protocol']","A sovereign, proof-of-stake blockchain that enables private, asset-agnostic bartering among any number of parties.
","['88mph', 'APY Vision', '0x', '1inch Network']","['Ethereum', '47.6K']","['proof' 'stake blockchain' 'asset' 'parties' 'agnostic bartering'
 'number']",[]
76,DAOHQ - Okcoin DAO,['DeFi'],"Global cryptocurrency exchange with the lowest fees around
","['88mph', '80Acres DAO', 'ACryptoS', '1inch Network']","['Polygon', '176.8K']",['lowest fees' 'global cryptocurrency exchange'],['Global cryptocurrency exchange']
77,DAOHQ - Mr. Bojangles DAO,['Collector'],"Environmentally charitable frictionless yield farming protocol that is designed to incentivize $Sleepy Sloth’s to hold due to its burn & redistribution mechanism.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']","['Ethereum', '6.8K']","['burn' 'sleepy sloth ’s' 'redistribution mechanism'
 'charitable frictionless yield farming protocol']",['frictionless yield farming protocol']
78,DAOHQ - CharmVerse DAO,"[' mverse.io Discord  Twitter ', ' mverse.io', ' Discord ', ' Twitter ']","CharmVerse is a web3 operations platform handling docs, tasks, bounties, and proposals.
 CharmVerse is a web3 operations platform handling docs, tasks, bounties, and proposals. It is a place for team contributors to coordinate day-to-day work, sign in with crypto wallets, and unlock workspaces with tokens/NFTs.
",[],[],"['bounties' 'web3 operations platform handling docs' 'proposals'
 'team contributors' 'place' 'unlock workspaces' 'nfts' 'day' 'tokens'
 'crypto wallets' 'day work' 'tasks' 'charmverse']","['CharmVerse' 'bounties' 'crypto wallets' 'docs' 'proposals' 'tasks'
 'web3 operations platform']"
79,DAOHQ - Bunny DAO,['DeFi'],"Bunny is a Defi Yield Farming Aggregator and Optimizer for the Binance Smart Chain and Polygon.
 The greater ecosystem of decentralized finance (DeFi), particularly the yield aggregators, experienced very significant growth in 2020. From there, optimization opportunities emerged that the team felt poised to innovate upon.
The Bunny protocol was created to provide users with an easy way to automatically compound the returns of their investments made through the Binance BSC Smart Chain (BSC) and more recently the Polygon Chain.
","['About', 'ACryptoS', '88mph', '80Acres DAO', '1inch Network']","['Binance', '21.7K']","['binance bsc smart chain' 'users' 'bunny' 'yield aggregators' 'polygon'
 'easy way' 'bunny protocol' 'defi yield farming aggregator'
 'optimization opportunities' 'greater ecosystem' 'binance smart chain'
 'returns' 'polygon chain' 'optimizer' 'investments' 'significant growth'
 'finance' 'team' 'defi' 'bsc']","['Binance Smart Chain' 'Bunny' 'Defi Yield Farming Aggregator' 'Optimizer'
 'Polygon Chain' 'SC Smart Chain' 'ators' 'decentralized finance'
 'optimization']"
80,DAOHQ - NPC Guild DAO,"[' opensea.io/collection/npc%E2%80%A6 Twitter ', ' opensea.io/collection/npc%E2%80%A6', ' Twitter ']","The NPC Guild handles all matters relating to NPCs in the metaverse.
",[],"['Polygon', '82.0']",['metaverse' 'matters' 'npc guild' 'npcs'],['NPC Guild' 'NPCs' 'metaverse']
81,DAOHQ - Shibuya DAO,"[' www.shibuya.xyz Discord  Twitter ', ' www.shibuya.xyz', ' Discord ', ' Twitter ']","Shibuya is a decentralized film distribution platform
",[],['3.3K'],['shibuya' 'film distribution platform'],['Shibuya' 'decentralized film distribution platform']
82,DAOHQ - PUBE DAO,['Social Impact'],"PUBE Finance DAO
 The PUBE Finance Protocol is a community-driven, fair-launched DeFi token with a focus on charity.
We envisage a future where everyone can pay with pubes.
On each transaction, two simple functions occur: holders earn free tokens (reflection) and the liquidity pool grows. Join us on our journey to the moon while making the world a better place.
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']","['Binance', '3.3K']","['reflection' 'future' 'pube finance dao' 'transaction' 'better place'
 'journey' 'community' 'world' 'moon' 'free tokens'
 'pube finance protocol' 'holders' 'focus' 'pubes' 'simple functions'
 'everyone' 'defi' 'charity' 'liquidity pool']",['DeFi token' 'PUBE Finance Protocol' 'charity' 'liquidity pool']
83,DAOHQ - Unlock Protocol DAO,"['Collector', 'Protocol']","Ʉnlock is an open source protocol for memberships as NFTs!
 Unlock is meant to help creators find ways to monetize without relying on a middleman. It’s a protocol — and not a centralized platform that controls everything that happens on it.
","['BAYC', 'Baby Wealthy Club', 'APE DAO', 'Async Art']",[],"['everything' 'unlock' 'memberships' 'ways' 'open source protocol'
 'middleman' 'centralized platform' 'protocol' 'nfts' 'ʉnlock' 'creators']",['' 'Unlock' 'memberships' 'Ʉnlock']
84,DAOHQ - Social Impact DAO LLC DAO,['Social Impact'],"To empower communities through disrupting and revolutionizing how “treatment” of substance use disorders, mental health, and housing for homelessness occurs.  Bringing state-of-the-art technology to empowerment, healing, and consequently sobriety.
 By shifting profits from the substance use disorders and mental health treatment industry, we can subsidize the healing aspects of how to support people and communities with needed resources, addressing social determinants of health, including housing.
","['Antidote DAO', 'BoldDao', 'Boss Beauties DAO', 'Carbonswap']",['26.0'],"['resources' 'sobriety' 'people' 'state'
 'mental health treatment industry' 'mental health' 'housing'
 'social determinants' 'healing aspects' 'communities' 'art technology'
 'healing' 'profits' 'treatment' 'empowerment' 'health'
 'homelessness occurs' 'substance use disorders']","['healing' 'homelessness' 'housing' 'mental health' 'sobriety'
 'substance use disorders']"
85,DAOHQ - Mint Fund DAO,"[' themint.fund Discord  Twitter ', ' themint.fund', ' Discord ', ' Twitter ']","Community-owned initiative helping crypto creators mint their first NFTs → http://discord.gg/6gkQbSENKQ
 Mint Fund is a community project created with the sole purpose to build a support network for artists interested in bringing their art into the world of crypto as NFTs.
We provide creators with the funds (known as gas costs) needed to mint their first NFT. The team also offers guidance, mentorship, and advice for our growing community of creators.
The fund is accessible to all creators, though we prioritize BIPOC and LGBTQIA+ creators, especially outside of North America and the European Union.
We’ve received an overwhelming amount of applications to join the Mint Fund. We are currently reviewing submissions and will notify accepted artists about next steps. Thank you to the community for your support of the Mint Fund and we hope to be able to open up rolling applications again soon
",[],"['Ethereum', '8.3K']","['north america' 'artists' 'community project' 'bipoc' 'european union'
 'http://discord.gg/6gkqbsenkq' 'mentorship' 'crypto' 'initiative'
 'first nft' 'rolling applications' 'first nfts' 'next steps'
 'sole purpose' 'mint fund' 'community' 'world' 'overwhelming amount'
 'applications' 'funds' 'gas costs' 'nfts' 'creators' 'fund' 'support'
 'team' 'guidance' 'support network' 'crypto creators' 'submissions' 'art'
 'advice']",['European Union' 'IP' 'Mint Fund' 'community project' 'mentorship']
